time,accident num,accident type,holiday,percipitation,visibility,wind,wind direction,fog,rain,sun rise,sun set
10/2/2011 8:00,1,A1,0,0,10,12.66,220,0,0,0,0
10/2/2011 12:00,1,A1,0,0.001,10,14.97,230,0,0,0,0
10/2/2011 16:00,1,A1,0,0,9,16.11,260,0,0,0,1
10/2/2011 20:00,0,NONE,0,0,10,14.97,40,0,0,0,0
11/2/2011 0:00,0,NONE,0,0,10,8.05,340,0,0,0,0
11/2/2011 4:00,0,NONE,0,0,10,5.75,340,0,0,1,0
11/2/2011 8:00,0,NONE,0,0,10,12.66,330,0,0,0,0
11/2/2011 12:00,0,NONE,0,0,10,10.36,300,0,0,0,0
11/2/2011 16:00,1,A1,0,0,8,12.66,330,0,0,0,1
11/2/2011 20:00,1,A1,0,0,8,12.66,340,0,0,0,0
12/2/2011 0:00,0,NONE,0,0.001,10,11.5,340,0,1,0,0
12/2/2011 4:00,0,NONE,0,0,6,16.11,330,1,1,1,0
12/2/2011 8:00,0,NONE,0,0,4,13.8,340,1,1,0,0
12/2/2011 12:00,0,NONE,0,0,10,14.97,10,0,0,0,0
12/2/2011 16:00,0,NONE,0,0,10,14.97,30,0,0,0,1
12/2/2011 20:00,0,NONE,0,0,10,11.5,340,0,0,0,0
00:00 13/02/2011,1,A1,0,0,10,13.8,350,0,0,0,0
04:00 13/02/2011,0,NONE,0,0,10,12.66,340,0,0,1,0
08:00 13/02/2011,0,NONE,0,0,10,17.27,360,0,0,0,0
12:00 13/02/2011,0,NONE,0,0,10,16.11,50,0,0,0,0
16:00 13/02/2011,0,NONE,0,0,10,14.97,30,0,0,0,1
20:00 13/02/2011,0,NONE,0,0,10,8.05,360,0,0,0,0
00:00 14/02/2011,0,NONE,1,0,10,4.61,330,0,0,0,0
04:00 14/02/2011,0,NONE,1,0,10,5.75,40,0,0,1,0
08:00 14/02/2011,0,NONE,1,0,10,10.36,50,0,0,0,0
12:00 14/02/2011,1,A1,1,0,10,10.36,80,0,0,0,0
16:00 14/02/2011,1,A1,1,0,10,8.05,70,0,0,0,1
20:00 14/02/2011,0,NONE,1,0,10,5.75,260,0,0,0,0
00:00 15/02/2011,0,NONE,0,0,10,9.22,350,0,0,0,0
04:00 15/02/2011,0,NONE,0,0,10,10.36,350,0,0,1,0
08:00 15/02/2011,1,A1,0,0,10,8.05,340,0,0,0,0
12:00 15/02/2011,0,NONE,0,0,10,9.22,80,0,0,0,0
16:00 15/02/2011,0,NONE,0,0,10,4.61,80,0,0,0,1
20:00 15/02/2011,1,A1,0,0,10,9.22,90,0,0,0,0
00:00 16/02/2011,0,NONE,0,0,10,8.05,80,0,0,0,0
04:00 16/02/2011,0,NONE,0,0,10,4.61,100,0,0,1,0
08:00 16/02/2011,0,NONE,0,0,10,11.5,140,0,0,0,0
12:00 16/02/2011,0,NONE,0,0,10,6.91,170,0,0,0,0
16:00 16/02/2011,2,A1,0,0,10,9.22,80,0,1,0,1
20:00 16/02/2011,0,NONE,0,0.01,10,12.66,110,0,0,0,0
00:00 17/02/2011,0,NONE,0,0,10,12.66,120,0,0,0,0
04:00 17/02/2011,0,NONE,0,0,10,12.66,120,0,0,1,0
08:00 17/02/2011,0,NONE,0,0,10,16.11,130,0,0,0,0
12:00 17/02/2011,1,A1,0,0,10,11.5,110,0,0,0,0
16:00 17/02/2011,1,A1,0,0,10,12.66,80,0,0,0,1
20:00 17/02/2011,0,NONE,0,0,10,11.5,110,0,0,0,0
00:00 18/02/2011,0,NONE,0,0,10,9.22,110,0,0,0,0
04:00 18/02/2011,0,NONE,0,0,10,12.66,90,0,0,1,0
08:00 18/02/2011,0,NONE,0,0,10,13.8,100,0,0,0,0
12:00 18/02/2011,0,NONE,0,0,10,12.66,80,0,0,0,0
16:00 18/02/2011,0,NONE,0,0,10,8.05,90,0,0,0,1
20:00 18/02/2011,0,NONE,0,0,10,6.91,60,0,0,0,0
00:00 19/02/2011,0,NONE,0,0,10,6.91,70,0,0,0,0
04:00 19/02/2011,0,NONE,0,0,10,3.44,330,0,0,1,0
08:00 19/02/2011,0,NONE,0,0,10,10.36,60,0,0,0,0
12:00 19/02/2011,0,NONE,0,0,10,13.8,60,0,0,0,0
16:00 19/02/2011,0,NONE,0,0,10,8.05,100,0,0,0,1
20:00 19/02/2011,0,NONE,0,0,10,4.61,100,0,0,0,0
00:00 20/02/2011,0,NONE,0,0,10,6.91,320,0,0,0,0
04:00 20/02/2011,0,NONE,0,0,9,4.61,340,0,0,1,0
08:00 20/02/2011,0,NONE,0,0,10,10.36,70,0,0,0,0
12:00 20/02/2011,0,NONE,0,0,10,11.5,80,0,0,0,0
16:00 20/02/2011,0,NONE,0,0,10,11.5,100,0,0,0,1
20:00 20/02/2011,0,NONE,0,0,10,9.22,140,0,0,0,0
00:00 21/02/2011,0,NONE,1,0,10,11.5,140,0,0,0,0
04:00 21/02/2011,0,NONE,1,0,10,9.22,150,0,0,1,0
08:00 21/02/2011,0,NONE,1,0,10,17.27,140,0,0,0,0
12:00 21/02/2011,0,NONE,1,0,10,19.57,150,0,0,0,0
16:00 21/02/2011,0,NONE,1,0,10,12.66,160,0,0,0,1
20:00 21/02/2011,0,NONE,1,0,10,5.75,180,0,0,0,0
00:00 22/02/2011,0,NONE,0,0,8,0,0,0,0,0,0
04:00 22/02/2011,0,NONE,0,0,5,3.44,190,1,0,1,0
08:00 22/02/2011,0,NONE,0,0,10,9.22,300,0,0,0,0
12:00 22/02/2011,0,NONE,0,0,10,13.8,130,0,0,0,0
16:00 22/02/2011,0,NONE,0,0,10,12.66,140,0,0,0,1
20:00 22/02/2011,1,A1,0,0,10,9.22,240,0,0,0,0
00:00 23/02/2011,0,NONE,0,0,10,8.05,290,0,0,0,0
04:00 23/02/2011,0,NONE,0,0,8,4.61,310,0,0,1,0
08:00 23/02/2011,0,NONE,0,0,10,13.8,50,0,0,0,0
12:00 23/02/2011,0,NONE,0,0,10,14.97,60,0,0,0,0
16:00 23/02/2011,0,NONE,0,0,10,11.5,70,0,0,0,1
20:00 23/02/2011,0,NONE,0,0,10,8.05,80,0,0,0,0
00:00 24/02/2011,0,NONE,0,0,4,4.61,320,1,0,0,0
04:00 24/02/2011,0,NONE,0,0,0.125,5.75,310,1,0,1,0
08:00 24/02/2011,0,NONE,0,0,10,14.97,130,0,0,0,0
12:00 24/02/2011,0,NONE,0,0,9,13.8,100,0,1,0,0
16:00 24/02/2011,0,NONE,0,0,10,11.5,140,0,0,0,1
20:00 24/02/2011,1,A1,0,0,10,11.5,120,0,0,0,0
00:00 25/02/2011,1,A1,0,0,10,14.97,160,0,0,0,0
04:00 25/02/2011,0,NONE,0,0,10,12.66,170,0,0,1,0
08:00 25/02/2011,1,A1,0,0,10,13.8,210,0,0,0,0
12:00 25/02/2011,0,NONE,0,0,10,17.27,160,0,0,0,0
16:00 25/02/2011,0,NONE,0,0,10,9.22,180,0,0,0,1
20:00 25/02/2011,0,NONE,0,0,10,4.61,190,0,0,0,0
00:00 26/02/2011,0,NONE,0,0,10,3.44,190,0,0,0,0
04:00 26/02/2011,0,NONE,0,0,10,0,0,0,0,1,0
08:00 26/02/2011,0,NONE,0,0,10,10.36,130,0,0,0,0
12:00 26/02/2011,0,NONE,0,0,10,11.5,150,0,0,0,0
16:00 26/02/2011,0,NONE,0,0,10,13.8,130,0,0,0,1
20:00 26/02/2011,0,NONE,0,0,10,6.91,140,0,0,0,0
00:00 27/02/2011,0,NONE,0,0,10,6.91,110,0,0,0,0
04:00 27/02/2011,0,NONE,0,0,10,8.05,130,0,0,1,0
08:00 27/02/2011,0,NONE,0,0,10,16.11,170,0,0,0,0
12:00 27/02/2011,0,NONE,0,0,10,16.11,130,0,0,0,0
16:00 27/02/2011,0,NONE,0,0,10,11.5,140,0,0,0,1
20:00 27/02/2011,0,NONE,0,0,10,9.22,130,0,0,0,0
00:00 28/02/2011,0,NONE,0,0,10,10.36,130,0,0,0,0
04:00 28/02/2011,0,NONE,0,0,10,12.66,140,0,0,1,0
08:00 28/02/2011,0,NONE,0,0,10,18.41,160,0,0,0,0
12:00 28/02/2011,0,NONE,0,0,10,18.41,140,0,0,0,0
16:00 28/02/2011,0,NONE,0,0,10,17.27,160,0,0,0,1
20:00 28/02/2011,1,A1,0,0,10,3.44,160,0,0,0,0
1/3/2011 0:00,0,NONE,0,0,10,0,0,0,0,0,0
1/3/2011 4:00,0,NONE,0,0,8,6.91,200,0,0,1,0
1/3/2011 8:00,2,A1,0,0,10,10.36,270,0,0,0,0
1/3/2011 12:00,0,NONE,0,0,10,11.5,300,0,0,0,0
1/3/2011 16:00,0,NONE,0,0,10,25.32,30,0,0,0,1
1/3/2011 20:00,0,NONE,0,0,4,13.8,30,1,1,0,0
2/3/2011 0:00,0,NONE,0,0,8,11.5,40,0,1,0,0
2/3/2011 4:00,0,NONE,0,0,10,17.27,60,0,0,1,0
2/3/2011 8:00,0,NONE,0,0,10,18.41,60,0,0,0,0
2/3/2011 12:00,0,NONE,0,0,10,20.71,70,0,0,0,0
2/3/2011 16:00,0,NONE,0,0,10,17.27,60,0,0,0,1
2/3/2011 20:00,0,NONE,0,0,10,14.97,60,0,0,0,0
3/3/2011 0:00,0,NONE,0,0,10,14.97,60,0,0,0,0
3/3/2011 4:00,0,NONE,0,0,10,13.8,70,0,0,1,0
3/3/2011 8:00,2,A1,0,0,10,23.02,90,0,0,0,0
3/3/2011 12:00,0,NONE,0,0,10,20.71,80,0,0,0,0
3/3/2011 16:00,0,NONE,0,0,10,20.71,90,0,0,0,1
3/3/2011 20:00,0,NONE,0,0,8,18.41,80,0,1,0,0
4/3/2011 0:00,0,NONE,0,0.001,10,21.85,80,0,1,0,0
